time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010503349642	112.891	12.4489	1.57353	-0.0591333	0.324986	lidar	2.17644	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.897	12.4361	1.73503	-0.0579459	0.325182	radar	0.2526	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.774	12.5494	2.11275	0.21369	0.281291	lidar	0.392729	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.776	12.5531	1.9591	0.224167	0.2885	radar	0.378953	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.687	12.1403	1.73841	-0.291604	-0.257454	lidar	1.77472	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.748	12.1783	2.10548	-0.239912	-0.166928	radar	1.19494	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.926	11.9891	2.36589	-0.00909222	0.125749	lidar	0.709442	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.907	11.9919	2.23955	-0.0148437	0.120264	radar	0.13072	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.715	12.2868	1.95642	0.263795	0.233858	lidar	0.275589	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.769	12.2875	2.14872	0.25592	0.221938	radar	0.5549	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.491	12.8172	3.15524	0.134759	-0.0423317	lidar	3.24676	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.375	12.7913	2.60495	0.153495	-0.030325	radar	2.79559	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	124.967	12.7913	1.56563	-0.0302126	-0.144159	lidar	3.01022	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	125.115	12.8209	2.30424	-0.0107118	-0.113239	radar	4.76942	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.804	13.309	2.9547	0.340569	0.234479	lidar	1.87967	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.732	13.3114	2.74303	0.353799	0.262435	radar	1.04477	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.969	13.7219	2.27883	0.231121	-0.00398744	lidar	0.924528	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.043	13.7304	2.42085	0.212535	-0.0210566	radar	1.26245	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.1	14.4993	2.34643	0.402055	0.134885	lidar	0.158566	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.185	14.501	2.63143	0.369999	0.0841	radar	1.33139	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.027	15.0466	3.16273	0.0658336	-0.212632	lidar	1.37454	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	135.001	15.0244	2.81108	0.0499835	-0.240184	radar	1.06243	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.567	16.1856	2.67556	0.571713	0.319897	lidar	1.77101	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.619	16.1617	3.00086	0.508976	0.203056	radar	0.959923	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.319	17.0232	2.91399	0.247591	-0.152373	lidar	0.759525	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.329	17.0249	2.92796	0.245095	-0.154799	radar	0.0356759	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.893	17.982	2.90081	0.359913	0.0487356	lidar	0.241756	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.856	17.9752	2.91489	0.351251	0.0321725	radar	0.588624	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.387	19.1562	3.01295	0.477004	0.101073	lidar	0.0498434	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.467	19.1657	3.12032	0.465458	0.0896007	radar	1.65737	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.233	20.4725	3.3245	0.427252	-0.013538	lidar	0.19293	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.199	20.4687	3.08225	0.46034	0.0452709	radar	0.508684	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.682	22.1072	3.19569	0.639488	0.145398	lidar	0.0820269	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.686	22.102	3.29743	0.611578	0.0922843	radar	0.210984	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.414	23.4996	3.22213	0.410242	-0.135876	lidar	0.319847	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.387	23.4907	3.04183	0.428646	-0.102956	radar	0.275188	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.039	24.8015	3.18884	0.435085	-0.0202664	lidar	0.0861354	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.011	24.8025	2.95094	0.468668	0.042474	radar	0.504272	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.868	26.0217	3.41969	0.347254	-0.0928291	lidar	0.746525	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.873	26.0202	3.23632	0.360836	-0.0633522	radar	0.67518	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.429	27.4224	3.05742	0.528101	0.112043	lidar	0.28614	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.449	27.4294	3.01145	0.540963	0.138295	radar	0.337122	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.642	28.7816	2.70193	0.593844	0.0817051	lidar	0.257958	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.763	28.8003	2.96691	0.543103	0.0158511	radar	3.02078	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	166.772	30.1903	3.67759	0.316836	-0.186544	lidar	1.73648	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.694	30.1649	3.1399	0.355893	-0.118436	radar	2.219	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.124	31.3712	2.82346	0.445087	0.0385496	lidar	0.447522	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.147	31.3737	2.89404	0.438397	0.02711	radar	0.122786	169.345	30.7063	169.452	31.2706	2.61238	1.15075
